,y,k,r,c,d,b,o,s,v,e,g,u,h,l,q,j,t,w,p,m,i,z,n,x,f,a
g,1.2,13.2,25.2,0.2,1.2,1.2,33.2,4.2,0.2,101.2,0.2,17.2,1.2,5.2,1.2,3.2,3.2,0.2,0.2,2.2,23.2,5.2,47.2,3.2,1.2,87.2
u,1.2,43.2,36.2,2.2,60.2,38.2,9.2,31.2,0.2,35.2,98.2,47.2,5.2,15.2,10.2,18.2,82.2,0.2,13.2,25.2,9.2,68.2,8.2,17.2,2.2,129.2
h,3.2,7.2,5.2,3.2,2.2,1.2,18.2,3.2,0.2,22.2,1.2,13.2,1.2,11.2,1.2,2.2,7.2,0.2,1.2,2.2,21.2,13.2,18.2,1.2,2.2,47.2
l,0.2,6.2,4.2,4.2,4.2,3.2,79.2,4.2,1.2,81.2,5.2,27.2,1.2,12.2,0.2,1.2,4.2,0.2,8.2,1.2,46.2,0.2,12.2,1.2,3.2,141.2
q,1.2,0.2,3.2,1.2,1.2,0.2,3.2,2.2,0.2,4.2,0.2,0.2,0.2,2.2,2.2,0.2,0.2,2.2,3.2,0.2,1.2,0.2,4.2,0.2,0.2,3.2
j,0.2,4.2,1.2,1.2,2.2,0.2,15.2,2.2,0.2,8.2,0.2,6.2,1.2,2.2,0.2,12.2,3.2,0.2,3.2,1.2,13.2,6.2,15.2,2.2,1.2,110.2
t,2.2,17.2,87.2,2.2,1.2,0.2,53.2,98.2,2.2,145.2,6.2,82.2,56.2,26.2,0.2,0.2,78.2,1.2,58.2,1.2,141.2,46.2,99.2,4.2,1.2,216.2
w,2.2,1.2,1.2,0.2,1.2,1.2,6.2,0.2,0.2,1.2,0.2,1.2,1.2,0.2,1.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2
p,0.2,3.2,13.2,2.2,2.2,1.2,29.2,9.2,1.2,27.2,2.2,16.2,0.2,4.2,0.2,0.2,59.2,1.2,0.2,8.2,17.2,5.2,25.2,1.2,1.2,49.2
m,2.2,9.2,15.2,1.2,0.2,1.2,25.2,5.2,0.2,32.2,0.2,14.2,3.2,5.2,2.2,0.2,5.2,3.2,3.2,5.2,27.2,13.2,8.2,1.2,1.2,55.2
i,3.2,83.2,164.2,8.2,73.2,63.2,78.2,32.2,7.2,54.2,37.2,13.2,26.2,44.2,0.2,6.2,107.2,1.2,19.2,31.2,62.2,66.2,73.2,23.2,9.2,202.2
z,0.2,5.2,4.2,0.2,2.2,0.2,27.2,1.2,0.2,92.2,2.2,39.2,1.2,0.2,0.2,0.2,144.2,0.2,2.2,10.2,93.2,16.2,23.2,3.2,0.2,107.2
n,1.2,8.2,21.2,2.2,0.2,2.2,194.2,5.2,2.2,240.2,1.2,120.2,3.2,2.2,0.2,0.2,6.2,0.2,1.2,2.2,180.2,3.2,30.2,1.2,0.2,220.2
x,1.2,3.2,0.2,0.2,8.2,0.2,5.2,0.2,0.2,8.2,3.2,11.2,0.2,0.2,3.2,0.2,96.2,0.2,1.2,2.2,21.2,0.2,4.2,4.2,0.2,5.2
f,0.2,3.2,8.2,0.2,0.2,1.2,11.2,4.2,0.2,2.2,1.2,1.2,0.2,0.2,1.2,2.2,1.2,0.2,2.2,0.2,6.2,3.2,10.2,0.2,5.2,14.2
a,29.2,140.2,176.2,13.2,91.2,180.2,81.2,70.2,7.2,131.2,110.2,66.2,62.2,123.2,0.2,119.2,253.2,1.2,74.2,90.2,134.2,117.2,196.2,38.2,16.2,266.2
