,y,k,r,c,d,b,o,s,v,e,g,u,h,l,q,j,t,w,p,m,i,z,n,x,f,a
g,-1.6127838567197355,-2.4638929889859074,-1.8648239170034178,-2.8294109927999447,-2.207695160713395,-3.198931869932209,-1.7541701392446318,-1.7983291090084261,-2.405403283235218,-1.6878807452800475,-2.0136270906068687,-1.4015819124617341,-2.4025479509123913,-1.5353180092851597,-2.1202747272795106,-2.263636068588108,-2.0757056077803786,-2.3909351071033793,-3.527114111639805,-2.8513602838168097,-1.6078211934200064,-1.9897463656344472,-1.7607083830296313,-2.2372085050255706,-3.074084689028244,-1.7709130938478572
u,-1.6127838567197355,-1.4225003038276822,-1.7234947642069482,-1.387454155143533,-1.8182432622668765,-1.3476735212131339,-1.3268857607620002,-1.6696624998808829,-3.1835545336188615,-1.4650347633497425,-0.8357300306879252,-1.8863899958476877,-1.7657258533252167,-1.1439833672116488,-0.066149370114585,-1.6268139710009337,-1.559486492168783,-1.6127838567197355,-1.3935752032695876,-1.3839988663863034,-2.258344568684569,-1.563777633362166,-1.8428951392169812,-1.1345461631284228,-1.7518653942943245,-1.9461042603908758
h,-1.3495424219451542,-1.4225003038276822,-2.211081452604776,-1.0812229657937442,-2.920905604164024,-3.198931869932209,-1.9344984512435677,-1.6696624998808829,-3.1835545336188615,-1.925544305325159,-2.43959582287915,-2.2196046748830702,-2.1393065161378098,-2.238404579816011,-2.383516162054092,-2.0003946338135266,-2.416244144728033,-1.06871581236946,-2.48572142648158,-2.588118849042228,-3.0364958190682128,-1.7265049308598657,-1.4431493296816813,-3.015359755409214,-3.074084689028244,-1.7893181565305811
l,-1.1868151244474543,-2.4638929889859074,-1.94305171704372,-1.8593742161773879,-2.2840835065768497,-1.3793879343903404,-1.2714630264033555,-1.880515865195776,-2.1421618484606366,-1.3010641369699147,-2.43959582287915,-1.2901857491687774,-2.4025479509123913,-0.9312142754472109,-2.1202747272795106,-2.263636068588108,-2.9603121890783086,-2.3909351071033793,-1.7789260846336048,-2.4253915515445286,-1.4801933183009253,-2.767897616018091,-1.9166813533779,-1.973967070250989,-2.032692003870019,-1.1747496194853115
q,-1.3495424219451542,-1.4225003038276822,-1.798559444059741,-2.8294109927999447,-2.920905604164024,-2.157539184773984,-1.8103587847446008,-1.6696624998808829,-3.1835545336188615,-1.8122651812618524,-3.2177470732627937,-2.0217941661341525,-3.1806992012960347,-2.1456505265791117,-2.383516162054092,-2.263636068588108,-2.697070754303727,-1.3495424219451542,-3.527114111639805,-2.4253915515445286,-1.6811081610816387,-1.7265049308598657,-1.8428951392169812,-3.015359755409214,-1.869964706372319,-1.660169747395888
j,-1.6127838567197355,-1.6857417386022637,-2.501646014590592,-3.607562243183588,-3.699056854547668,-3.198931869932209,-2.21677901089471,-2.043243162693476,-3.1835545336188615,-2.1960362337396786,-2.43959582287915,-2.8564267724702446,-2.1393065161378098,-2.238404579816011,-2.1202747272795106,-1.837667336315827,-2.9603121890783086,-1.6127838567197355,-2.7489628612561616,-2.588118849042228,-2.492427774717937,-2.767897616018091,-2.1624085405749756,-3.015359755409214,-2.2959334386446,-1.3041254353709217
t,-1.6127838567197355,-1.6857417386022637,-1.3674992761954683,-1.756303894464513,-2.494936871891743,-2.157539184773984,-1.5416980822239412,-0.9277839467816897,-2.405403283235218,-1.5068260666928162,-1.3664887245437183,-1.3535446556061606,-0.6949777748144547,-1.460253329432367,-3.1616674124377355,-3.041787318971752,-1.2186354456862336,-1.6127838567197355,-1.000774834249961,-2.1381498403661805,-0.9783229537451046,-1.9897463656344472,-0.8926926075793965,-1.973967070250989,-1.5177821882609566,-1.5338368057959828
w,-1.3495424219451542,-1.6857417386022637,-2.782472624166286,-2.8294109927999447,-2.920905604164024,-2.4207806195485655,-2.405279527932211,-3.084635847851701,-3.1835545336188615,-2.782301957884409,-3.2177470732627937,-3.634578022853888,-2.4025479509123913,-3.56062387454993,-3.1616674124377355,-3.041787318971752,-2.125679582742217,-0.8995734132691064,-3.527114111639805,-2.8513602838168097,-2.7732543842936312,-1.9897463656344472,-3.047015121872906,-2.2372085050255706,-2.2959334386446,-3.3747788860390817
p,-2.3909351071033793,-1.6857417386022637,-1.7785423305378538,-2.4034422605276635,-2.494936871891743,-2.4207806195485655,-1.464892986993603,-1.129589833128775,-2.405403283235218,-1.4455564099538936,-2.43959582287915,-1.7537644305730968,-2.4025479509123913,-1.7093655258308547,-2.383516162054092,-3.041787318971752,-1.245703050435115,-1.3495424219451542,-2.32299412898388,-1.1367511451736159,-1.9951031339099876,-1.563777633362166,-1.5329103009000737,-1.973967070250989,-2.2959334386446,-1.419732871316156
m,-1.6127838567197355,-1.141673694251988,-1.3751589894194314,-2.1925888952127703,-2.494936871891743,-2.157539184773984,-1.1617023178086945,-1.4140807783302645,-1.692192839784589,-1.2435846319182349,-1.8027737252919758,-1.3535446556061606,-1.9765792186401099,-2.0692621807156573,-2.383516162054092,-2.263636068588108,-2.24710174562768,-1.3495424219451542,-2.48572142648158,-2.1381498403661805,-1.2948190756761375,-1.563777633362166,-1.5329103009000737,-1.973967070250989,-2.2959334386446,-1.146036428474825
i,-2.3909351071033793,-2.4638929889859074,-0.9907181974117262,-0.9680757539150022,-1.0353559291580197,-1.0985613248146462,-1.319074498357624,-1.1944011815453444,-0.7348482137137817,-1.3555583913621672,-1.7263853794285209,-1.2016087319794824,-1.8584799065621154,-1.0091738765770546,-2.383516162054092,-1.837667336315827,-1.14076825353644,-0.8995734132691064,-1.4098428159840408,-0.9519045814799602,-1.4326300268769878,-2.767897616018091,-1.3465998766627063,-1.4025758986894787,-0.9097318332438067,-1.4662938671604322
z,-2.3909351071033793,-2.4638929889859074,-2.1162951332265747,-2.8294109927999447,-3.699056854547668,-2.4207806195485655,-2.45525350289405,-3.8627870982353443,-1.692192839784589,-1.846842677749144,-2.43959582287915,-2.593185337695663,-2.4025479509123913,-2.782472624166286,-3.1616674124377355,-2.0003946338135266,-3.7384634394619525,-2.3909351071033793,-2.7489628612561616,-3.629511534200453,-1.9338334771710648,-1.563777633362166,-2.2688638714892626,-3.015359755409214,-3.074084689028244,-2.0701447661062753
n,-1.6127838567197355,-1.2597730063299826,-1.509998088955358,-2.1925888952127703,-2.2840835065768497,-1.7075701760979363,-0.9357776700827407,-1.4631133767543063,-2.405403283235218,-0.877663682329605,-1.7263853794285209,-0.8311209072054743,-2.4025479509123913,-2.0692621807156573,-2.1202747272795106,-3.041787318971752,-2.697070754303727,-2.3909351071033793,-2.48572142648158,-2.073209033433166,-0.9689290514851976,-1.276535922183818,-1.8428951392169812,-3.015359755409214,-2.032692003870019,-1.0018668830689752
x,-1.6127838567197355,-1.6857417386022637,-2.6197453266685864,-3.607562243183588,-2.6576641693894425,-2.4207806195485655,-1.5967456485548466,-2.114599071229144,-2.405403283235218,-1.846842677749144,-2.43959582287915,-2.2196046748830702,-2.4025479509123913,-2.519231189391705,-2.383516162054092,-2.263636068588108,-3.7384634394619525,-2.3909351071033793,-2.48572142648158,-3.629511534200453,-1.731861699135406,-1.9897463656344472,-2.1175961961586136,-1.973967070250989,-2.032692003870019,-2.035658840766961
f,-1.3495424219451542,-1.6857417386022637,-1.8893668580809435,-2.1925888952127703,-2.920905604164024,-2.157539184773984,-1.7985244153958688,-1.8584657244527019,-2.405403283235218,-1.780238797320636,-2.43959582287915,-2.4304580401979634,-3.1806992012960347,-2.0043213737826426,-1.957547429781811,-2.0003946338135266,-2.697070754303727,-2.3909351071033793,-2.7489628612561616,-3.629511534200453,-1.9951031339099876,-1.4456783212841715,-1.724795827138987,-2.2372085050255706,-1.582722995193971,-1.883417192204809
a,-0.8346326063360919,-1.2597730063299826,-0.6592150933902144,-0.6071281657042696,-0.6836970991384536,-0.6992447873138052,-1.3596164594790725,-0.8961761115534101,-0.5858593476933494,-1.3478851443724804,-0.6602398713571357,-1.4853589101985083,-0.5616058706692919,-0.7927262585318392,-2.1202747272795106,-0.11958104153273538,-0.6292224708737492,-1.3495424219451542,-0.640059733588848,-0.6820778123134026,-0.9567118047324272,-0.42350534233298004,-0.9495264352523813,-0.5514667664233068,-0.6027929779693052,-1.461848644299757
